prior_type,model_type,condition_cb,cmpr,mean,median,sd,mad,q5,q95
orig,intrvl,Diabetes,pu_A10BK,-0.0290755758712,-0.0290012,0.010666553912650775,0.009587529420000003,-0.046286310000000004,-0.01260644500000005
new,intrvl,Diabetes,pu_A10BK,-0.0187429566792725,-0.01752405,0.014249496273018436,0.012514611773999998,-0.04394406,0.0020924099999999907
orig,intrvl,Diabetes,pu_A10BK,-0.0186210992337,-0.017164350000000002,0.014777644507152396,0.012797351007000001,-0.04501150500000001,0.0028482629999999876
new,intrvl,Diabetes,pu_A10BK,-0.0129943175171325,-0.0130908,0.009159320654396917,0.007494246479999999,-0.026964885,7.135460499999959e-4
orig,intrvl,Diabetes,pu_A10BK,-0.012912066143285,-0.012836400000000001,0.00952398562831474,0.008370285168,-0.028562645,0.0018726704999999992
new,intrvl,Diabetes,pu_A10BK,0.00776577132165725,0.00769982,0.008697613879001975,0.008499271368,-0.0067134364999999994,0.021550035
orig,intrvl,Diabetes,pu_A10BK,0.0080296119384,0.008106545,0.008863482018280237,0.008537596577999998,-0.006444604999999999,0.022458345
new,intrvl,GORD,pu_a02bc,-0.0217615473359875,-0.021381249999999997,0.01737614117632547,0.016783476779999997,-0.050928575000000004,0.0068071799999999735
orig,intrvl,GORD,pu_a02bc,-0.0220061395598625,-0.0220551,0.01759180820161606,0.01780105929,-0.05074394,0.0071031264999999975
new,intrvl,GORD,pu_a02bc,0.0782711530393825,0.07677585,0.07258341012641795,0.07326349443,-0.03961718499999999,0.20059679999999996
orig,intrvl,GORD,pu_a02bc,0.0788359709914125,0.07926,0.07289771723114033,0.0718883088,-0.039989874999999994,0.19816645
new,intrvl,GORD,pu_a02bc,-0.0245083777300325,-0.02504195,0.024067654170773133,0.024304728818999997,-0.06297818999999999,0.014613984999999956
orig,intrvl,GORD,pu_a02bc,-0.0254930849072275,-0.0253959,0.024513603205824862,0.02419543896,-0.06599697499999999,0.014604179999999954
new,intrvl,GORD,pu_a02bc,0.003988446414159,0.004003995,0.02012887854992218,0.019831153818000002,-0.028834855,0.037637435
orig,intrvl,GORD,pu_a02bc,0.0042583652613525,0.00445059,0.0203126995310964,0.020326475652,-0.029317174999999997,0.0378746
new,intrvl,Hypertension,C09AA_C09CA,0.1214578220825,0.122969,0.21757081743051404,0.21577122881999997,-0.239028,0.4874072499999996
orig,intrvl,Hypertension,C09AA_C09CA,0.116499638864925,0.11429,0.21584838838929474,0.21716709671999998,-0.24130235,0.46939075
new,intrvl,Hypertension,C09AA_C09CA,-0.554576593559075,-0.555589,0.5493128347267303,0.5537162589,-1.4373440000000002,0.35508844999999967
orig,intrvl,Hypertension,C09AA_C09CA,-0.4574284310987,-0.4574435,0.49839529706374586,0.482690082,-1.303794,0.35428669999999945
new,intrvl,Hypertension,C09AA_C09CA,-0.2374137404105,-0.238059,0.2873740387912064,0.2859105144,-0.7071734999999999,0.24059299999999992
orig,intrvl,Hypertension,C09AA_C09CA,-0.21340609221655,-0.213261,0.2756884859501509,0.28287281525999997,-0.6651487,0.2311652999999999
new,intrvl,Hypertension,C09AA_C09CA,-0.3799397959185,-0.3847025,0.25058759425728705,0.243924765,-0.7858331000000001,0.031767334999999765
orig,intrvl,Hypertension,C09AA_C09CA,-0.36412277784825,-0.3633905,0.2489719362313375,0.2543593038,-0.7752194499999999,0.03536797999999987
new,intrvl,Hypertension,C09AA_C09CA,0.30068463021155,0.300259,0.24923197502870603,0.25362393419999996,-0.11513784999999999,0.7111764
orig,intrvl,Hypertension,C09AA_C09CA,0.2763668647855,0.2732485,0.2467938827305041,0.2497276614,-0.12042075,0.6835300999999999
new,intrvl,ibd,pu_L04AA,-0.018993884452845,-0.019042200000000002,0.08853668541561248,0.08950485852,-0.1636869,0.12679089999999987
